epoch,acc,loss,my_accuracy,val_acc,val_loss,val_my_accuracy
0,0.5834186553284526,1.481265177205205,0.103,0.6033333241939545,0.9851194886366527,0.0
1,0.6899315521717072,0.751177283346653,0.134,0.6544444475571315,0.8527814922730128,0.0
2,0.735544049680233,0.6479234972894192,0.182,0.6891666718324025,0.7434008407592774,0.0
3,0.7701246044039727,0.5743288218863308,0.215,0.7072222266594569,0.6540313345193863,0.0
4,0.7998910720944404,0.5124360880702734,0.275,0.7447222228844961,0.5897041194637617,0.0
5,0.8238694446086884,0.45586382775567474,0.314,0.7769444425900777,0.5304397307833035,0.006666666666666667
6,0.8451678569316864,0.4145806652531028,0.363,0.7930555512507756,0.48079873919487,0.0
7,0.862783728837967,0.37356063147634266,0.395,0.8241666640837987,0.43616074244181313,0.03
8,0.8694587289094925,0.34954812841303645,0.418,0.8311111092567444,0.406691066523393,0.023333333333333334
9,0.8821414668560028,0.3189466926790774,0.453,0.842222220102946,0.37982500637571015,0.06
10,0.8923954353928566,0.29426497195288537,0.465,0.8647222222884496,0.3486009727915128,0.12
11,0.9005412687063217,0.2728972178343683,0.506,0.8719444451729457,0.3239332534869512,0.12333333333333334
0,0.6493166693598031,1.0912654485702515,0.171,0.6147222171227137,0.8875744342803955,0.0
1,0.8054083332419395,0.47129774481803177,0.297,0.7080555619796117,0.6973849159479141,0.0
2,0.8784999987483024,0.32723137603327634,0.439,0.7769444437821706,0.5348052973548572,0.01
3,0.9239083314538002,0.22836516115348787,0.591,0.8061111108462016,0.46028489351272583,0.02666666666666667
4,0.951741664648056,0.1650717527186498,0.699,0.8808333331346512,0.32188707585136095,0.14
5,0.9668249988555908,0.12152336705615743,0.76,0.9030555595954259,0.27646733216941355,0.24333333333333335
6,0.9780083333849907,0.09121784991398453,0.82,0.9336111174027125,0.20267058461904525,0.3933333333333333
7,0.9824666668176651,0.07007614692952484,0.855,0.9450000069538752,0.16217320038626593,0.4533333333333333
8,0.9838083332777023,0.0606506405021064,0.867,0.9166666696468989,0.21434678653875985,0.39
9,0.9913500009775161,0.041729516931110995,0.918,0.9761111148198446,0.09445104193563263,0.7466666666666667
